structure,R1,R2,R3,R4
TS-1,12,23,34,45
TS-10,12,23,34,35
TS-100,12,23,27,31
TS-1000,12,13,14,15
TS-101,12,23,27,31
TS-102,12,23,27,31
TS-103,12,23,27,31
TS-104,12,23,27,31
TS-105,12,23,27,28
TS-106,12,23,27,28
TS-107,12,23,27,28
TS-108,12,23,27,28
TS-109,12,23,27,28
TS-11,12,23,34,35
TS-110,12,23,27,28
TS-111,12,23,27,28
TS-112,12,23,27,28
TS-113,12,23,27,28
TS-114,12,23,27,28
TS-115,12,23,27,28
TS-116,12,23,27,28
TS-117,12,23,27,28
TS-118,12,23,27,28
TS-119,12,23,27,28
TS-12,12,23,34,35
TS-120,12,23,27,28
TS-121,12,23,24,35
TS-122,12,23,24,35
TS-123,12,23,24,35
TS-124,12,23,24,35
TS-125,12,23,24,35
TS-126,12,23,24,35
TS-127,12,23,24,35
TS-128,12,23,24,35
TS-129,12,23,24,25
TS-13,12,23,34,35
TS-130,12,23,24,25
TS-131,12,23,24,25
TS-132,12,23,24,25
TS-133,12,23,24,25
TS-134,12,23,24,25
TS-135,12,23,24,25
TS-136,12,23,24,25
TS-137,12,23,24,28
TS-138,12,23,24,28
TS-139,12,23,24,28
TS-14,12,23,34,35
TS-140,12,23,24,28
TS-141,12,23,24,28
TS-142,12,23,24,28
TS-143,12,23,24,28
TS-144,12,23,24,28
TS-145,12,23,24,25
TS-146,12,23,24,25
TS-147,12,23,24,25
TS-148,12,23,24,25
TS-149,12,23,24,25
TS-15,12,23,34,35
TS-150,12,23,24,25
TS-151,12,23,24,25
TS-152,12,23,24,25
TS-153,12,23,24,25
TS-154,12,23,24,25
TS-155,12,23,24,25
TS-156,12,23,24,25
TS-157,12,23,24,25
TS-158,12,23,24,25
TS-159,12,23,24,25
TS-16,12,23,34,35
TS-160,12,23,24,25
TS-161,12,23,24,35
TS-162,12,23,24,35
TS-163,12,23,24,35
TS-164,12,23,24,35
TS-165,12,23,24,35
TS-166,12,23,24,35
TS-167,12,23,24,35
TS-168,12,23,24,35
TS-169,12,23,24,25
TS-17,12,23,34,38
TS-170,12,23,24,25
TS-171,12,23,24,25
TS-172,12,23,24,25
TS-173,12,23,24,25
TS-174,12,23,24,25
TS-175,12,23,24,25
TS-176,12,23,24,25
TS-177,12,23,24,28
TS-178,12,23,24,28
TS-179,12,23,24,28
TS-18,12,23,34,38
TS-180,12,23,24,28
TS-181,12,23,24,28
TS-182,12,23,24,28
TS-183,12,23,24,28
TS-184,12,23,24,28
TS-185,12,23,24,25
TS-186,12,23,24,25
TS-187,12,23,24,25
TS-188,12,23,24,25
TS-189,12,23,24,25
TS-19,12,23,34,38
TS-190,12,23,24,25
TS-191,12,23,24,25
TS-192,12,23,24,25
TS-193,12,23,24,25
TS-194,12,23,24,25
TS-195,12,23,24,25
TS-196,12,23,24,25
TS-197,12,23,24,25
TS-198,12,23,24,25
TS-199,12,23,24,25
TS-2,12,23,34,45
TS-20,12,23,34,38
TS-200,12,23,24,25
TS-201,12,13,24,35
TS-202,12,13,24,35
TS-203,12,13,24,35
TS-204,12,13,24,35
TS-205,12,13,24,35
TS-206,12,13,24,35
TS-207,12,13,24,35
TS-208,12,13,24,35
TS-209,12,13,24,25
TS-21,12,23,34,38
TS-210,12,13,24,25
TS-211,12,13,24,25
TS-212,12,13,24,25
TS-213,12,13,24,25
TS-214,12,13,24,25
TS-215,12,13,24,25
TS-216,12,13,24,25
TS-217,12,13,24,28
TS-218,12,13,24,28
TS-219,12,13,24,28
TS-22,12,23,34,38
TS-220,12,13,24,28
TS-221,12,13,24,28
TS-222,12,13,24,28
TS-223,12,13,24,28
TS-224,12,13,24,28
TS-225,12,13,24,25
TS-226,12,13,24,25
TS-227,12,13,24,25
TS-228,12,13,24,25
TS-229,12,13,24,25
TS-23,12,23,34,38
TS-230,12,13,24,25
TS-231,12,13,24,25
TS-232,12,13,24,25
TS-233,12,13,24,25
TS-234,12,13,24,25
TS-235,12,13,24,25
TS-236,12,13,24,25
TS-237,12,13,24,25
TS-238,12,13,24,25
TS-239,12,13,24,25
TS-24,12,23,34,38
TS-240,12,13,24,25
TS-241,12,13,14,25
TS-242,12,13,14,25
TS-243,12,13,14,25
TS-244,12,13,14,25
TS-245,12,13,14,25
TS-246,12,13,14,25
TS-247,12,13,14,25
TS-248,12,13,14,25
TS-249,12,13,14,15
TS-25,12,23,34,35
TS-250,12,13,14,15
TS-251,12,13,14,15
TS-252,12,13,14,15
TS-253,12,13,14,15
TS-254,12,13,14,15
TS-255,12,13,14,15
TS-256,12,13,14,15
TS-257,12,13,14,18
TS-258,12,13,14,18
TS-259,12,13,14,18
TS-26,12,23,34,35
TS-260,12,13,14,18
TS-261,12,13,14,18
TS-262,12,13,14,18
TS-263,12,13,14,18
TS-264,12,13,14,18
TS-265,12,13,14,15
TS-266,12,13,14,15
TS-267,12,13,14,15
TS-268,12,13,14,15
TS-269,12,13,14,15
TS-27,12,23,34,35
TS-270,12,13,14,15
TS-271,12,13,14,15
TS-272,12,13,14,15
TS-273,12,13,14,15
TS-274,12,13,14,15
TS-275,12,13,14,15
TS-276,12,13,14,15
TS-277,12,13,14,15
TS-278,12,13,14,15
TS-279,12,13,14,15
TS-28,12,23,34,35
TS-280,12,13,14,15
TS-281,12,13,17,28
TS-282,12,13,17,28
TS-283,12,13,17,28
TS-284,12,13,17,28
TS-285,12,13,17,28
TS-286,12,13,17,28
TS-287,12,13,17,28
TS-288,12,13,17,28
TS-289,12,13,17,18
TS-29,12,23,34,35
TS-290,12,13,17,18
TS-291,12,13,17,18
TS-292,12,13,17,18
TS-293,12,13,17,18
TS-294,12,13,17,18
TS-295,12,13,17,18
TS-296,12,13,17,18
TS-297,12,13,17,21
TS-298,12,13,17,21
TS-299,12,13,17,21
TS-3,12,23,34,45
TS-30,12,23,34,35
TS-300,12,13,17,21
TS-301,12,13,17,21
TS-302,12,13,17,21
TS-303,12,13,17,21
TS-304,12,13,17,21
TS-305,12,13,17,18
TS-306,12,13,17,18
TS-307,12,13,17,18
TS-308,12,13,17,18
TS-309,12,13,17,18
TS-31,12,23,34,35
TS-310,12,13,17,18
TS-311,12,13,17,18
TS-312,12,13,17,18
TS-313,12,13,17,18
TS-314,12,13,17,18
TS-315,12,13,17,18
TS-316,12,13,17,18
TS-317,12,13,17,18
TS-318,12,13,17,18
TS-319,12,13,17,18
TS-32,12,23,34,35
TS-320,12,13,17,18
TS-321,12,13,14,25
TS-322,13,12,14,25
TS-323,12,13,14,25
TS-324,12,13,14,25
TS-325,12,13,14,25
TS-326,12,13,14,25
TS-327,12,13,14,25
TS-328,13,12,14,25
TS-329,12,13,14,15
TS-33,12,23,34,35
TS-330,13,12,14,15
TS-331,13,12,14,15
TS-332,12,13,14,15
TS-333,13,12,14,15
TS-334,13,12,14,15
TS-335,13,12,14,15
TS-336,12,13,14,15
TS-337,12,13,14,18
TS-338,13,12,14,18
TS-339,13,12,14,18
TS-34,12,23,34,35
TS-340,12,13,14,18
TS-341,13,12,14,18
TS-342,12,13,14,18
TS-343,13,12,14,18
TS-344,13,12,14,18
TS-345,12,13,14,15
TS-346,13,12,14,15
TS-347,12,13,14,15
TS-348,12,13,14,15
TS-349,12,13,14,15
TS-35,12,23,34,35
TS-350,12,13,14,15
TS-351,13,12,14,15
TS-352,12,13,14,15
TS-353,12,13,14,15
TS-354,13,12,14,15
TS-355,12,13,14,15
TS-356,12,13,14,15
TS-357,12,13,14,15
TS-358,13,12,14,15
TS-359,12,13,14,15
TS-36,12,23,34,35
TS-360,13,12,14,15
TS-361,12,13,14,25
TS-362,12,13,14,25
TS-363,12,13,14,25
TS-364,12,13,14,25
TS-365,12,13,14,25
TS-366,12,13,14,25
TS-367,12,13,14,25
TS-368,12,13,14,25
TS-369,12,13,14,15
TS-37,12,23,34,35
TS-370,12,13,14,15
TS-371,12,13,14,15
TS-372,12,13,14,15
TS-373,12,13,14,15
TS-374,12,13,14,15
TS-375,12,13,14,15
TS-376,12,13,14,15
TS-377,12,13,14,18
TS-378,12,13,14,18
TS-379,12,13,14,18
TS-38,12,23,34,35
TS-380,12,13,14,18
TS-381,12,13,14,18
TS-382,13,12,14,18
TS-383,12,13,14,18
TS-384,12,13,14,18
TS-385,12,13,14,15
TS-386,12,13,14,15
TS-387,12,13,14,15
TS-388,12,13,14,15
TS-389,12,13,14,15
TS-39,12,23,34,35
TS-390,12,13,14,15
TS-391,12,13,14,15
TS-392,12,13,14,15
TS-393,12,13,14,15
TS-394,12,13,14,15
TS-395,12,13,14,15
TS-396,12,13,14,15
TS-397,12,13,14,15
TS-398,12,13,14,15
TS-399,12,13,14,15
TS-4,12,23,34,45
TS-40,12,23,34,35
TS-400,12,13,14,15
TS-401,12,16,27,38
TS-402,12,16,27,38
TS-403,12,16,27,38
TS-404,12,16,27,38
TS-405,12,16,27,38
TS-406,12,16,27,38
TS-407,12,16,27,38
TS-408,12,16,27,38
TS-409,12,16,27,28
TS-41,12,23,24,35
TS-410,12,16,27,28
TS-411,12,16,27,28
TS-412,12,16,27,28
TS-413,12,16,27,28
TS-414,12,16,27,28
TS-415,12,16,27,28
TS-416,12,16,27,28
TS-417,12,16,27,31
TS-418,12,16,27,31
TS-419,12,16,27,31
TS-42,12,23,24,35
TS-420,12,16,27,31
TS-421,12,16,27,31
TS-422,12,16,27,31
TS-423,12,16,27,31
TS-424,12,16,27,31
TS-425,12,16,27,28
TS-426,12,16,27,28
TS-427,12,16,27,28
TS-428,12,16,27,28
TS-429,12,16,27,28
TS-43,12,23,24,35
TS-430,12,16,27,28
TS-431,12,16,27,28
TS-432,12,16,27,28
TS-433,12,16,27,28
TS-434,12,16,27,28
TS-435,12,16,27,28
TS-436,12,16,27,28
TS-437,12,16,27,28
TS-438,12,16,27,28
TS-439,12,16,27,28
TS-44,12,23,24,35
TS-440,12,16,27,28
TS-441,12,16,17,28
TS-442,12,16,17,28
TS-443,12,16,17,28
TS-444,12,16,17,28
TS-445,12,16,17,28
TS-446,12,16,17,28
TS-447,12,16,17,28
TS-448,12,16,17,28
TS-449,12,16,17,18
TS-45,12,23,24,35
TS-450,12,16,17,18
TS-451,12,16,17,18
TS-452,12,16,17,18
TS-453,12,16,17,18
TS-454,12,16,17,18
TS-455,12,16,17,18
TS-456,12,16,17,18
TS-457,12,16,17,21
TS-458,12,16,17,21
TS-459,12,16,17,21
TS-46,12,23,24,35
TS-460,12,16,17,21
TS-461,12,16,17,21
TS-462,12,16,17,21
TS-463,12,16,17,21
TS-464,12,16,17,21
TS-465,12,16,17,18
TS-466,12,16,17,18
TS-467,12,16,17,18
TS-468,12,16,17,18
TS-469,12,16,17,18
TS-47,12,23,24,35
TS-470,12,16,17,18
TS-471,12,16,17,18
TS-472,12,16,17,18
TS-473,12,16,17,18
TS-474,12,16,17,18
TS-475,12,16,17,18
TS-476,12,16,17,18
TS-477,12,16,17,18
TS-478,12,16,17,18
TS-479,12,16,17,18
TS-48,12,23,24,35
TS-480,12,16,17,18
TS-481,12,16,20,31
TS-482,12,16,20,31
TS-483,12,16,20,31
TS-484,12,16,20,31
TS-485,12,16,20,31
TS-486,12,16,20,31
TS-487,12,16,20,31
TS-488,12,16,20,31
TS-489,12,16,20,21
TS-49,12,23,24,25
TS-490,12,16,20,21
TS-491,12,16,20,21
TS-492,12,16,20,21
TS-493,12,16,20,21
TS-494,12,16,20,21
TS-495,12,16,20,21
TS-496,12,16,20,21
TS-497,12,16,20,24
TS-498,12,16,20,24
TS-499,12,16,20,24
TS-5,12,23,34,45
TS-50,12,23,24,25
TS-500,12,16,20,24
TS-501,12,16,20,24
TS-502,12,16,20,24
TS-503,12,16,20,24
TS-504,12,16,20,24
TS-505,12,16,20,21
TS-506,12,16,20,21
TS-507,12,16,20,21
TS-508,12,16,20,21
TS-509,12,16,20,21
TS-51,12,23,24,25
TS-510,12,16,20,21
TS-511,12,16,20,21
TS-512,12,16,20,21
TS-513,12,16,20,21
TS-514,12,16,20,21
TS-515,12,16,20,21
TS-516,12,16,20,21
TS-517,12,16,20,21
TS-518,12,16,20,21
TS-519,12,16,20,21
TS-52,12,23,24,25
TS-520,12,16,20,21
TS-521,12,16,17,28
TS-522,12,16,17,28
TS-523,12,16,17,28
TS-524,12,16,17,28
TS-525,12,16,17,28
TS-526,12,16,17,28
TS-527,12,16,17,28
TS-528,12,16,17,28
TS-529,12,16,17,18
TS-53,12,23,24,25
TS-530,12,16,17,18
TS-531,12,16,17,18
TS-532,12,16,17,18
TS-533,12,16,17,18
TS-534,12,16,17,18
TS-535,12,16,17,18
TS-536,12,16,17,18
TS-537,12,16,17,21
TS-538,12,16,17,21
TS-539,12,16,17,21
TS-54,12,23,24,25
TS-540,12,16,17,21
TS-541,12,16,17,21
TS-542,12,16,17,21
TS-543,12,16,17,21
TS-544,12,16,17,21
TS-545,12,16,17,18
TS-546,12,16,17,18
TS-547,12,16,17,18
TS-548,12,16,17,18
TS-549,12,16,17,18
TS-55,12,23,24,25
TS-550,12,16,17,18
TS-551,12,16,17,18
TS-552,12,16,17,18
TS-553,12,16,17,18
TS-554,12,16,17,18
TS-555,12,16,17,18
TS-556,12,16,17,18
TS-557,12,16,17,18
TS-558,12,16,17,18
TS-559,12,16,17,18
TS-56,12,23,24,25
TS-560,12,16,17,18
TS-561,12,16,17,28
TS-562,12,16,17,28
TS-563,12,16,17,28
TS-564,12,16,17,28
TS-565,12,16,17,28
TS-566,12,16,17,28
TS-567,12,16,17,28
TS-568,12,16,17,28
TS-569,12,16,17,18
TS-57,12,23,24,28
TS-570,12,16,17,18
TS-571,12,16,17,18
TS-572,12,16,17,18
TS-573,12,16,17,18
TS-574,12,16,17,18
TS-575,12,16,17,18
TS-576,12,16,17,18
TS-577,12,16,17,21
TS-578,12,16,17,21
TS-579,12,16,17,21
TS-58,12,23,24,28
TS-580,12,16,17,21
TS-581,12,16,17,21
TS-582,12,16,17,21
TS-583,12,16,17,21
TS-584,12,16,17,21
TS-585,12,16,17,18
TS-586,12,16,17,18
TS-587,12,16,17,18
TS-588,12,16,17,18
TS-589,12,16,17,18
TS-59,12,23,24,28
TS-590,12,16,17,18
TS-591,12,16,17,18
TS-592,12,16,17,18
TS-593,12,16,17,18
TS-594,12,16,17,18
TS-595,12,16,17,18
TS-596,12,16,17,18
TS-597,12,16,17,18
TS-598,12,16,17,18
TS-599,12,16,17,18
TS-6,12,23,34,45
TS-60,12,23,24,28
TS-600,12,16,17,18
TS-601,12,13,24,35
TS-602,12,13,24,35
TS-603,12,13,24,35
TS-604,12,13,24,35
TS-605,12,13,24,35
TS-606,12,13,24,35
TS-607,12,13,24,35
TS-608,12,13,24,35
TS-609,12,13,24,25
TS-61,12,23,24,28
TS-610,12,13,24,25
TS-611,12,13,24,25
TS-612,12,13,24,25
TS-613,12,13,24,25
TS-614,12,13,24,25
TS-615,12,13,24,25
TS-616,12,13,24,25
TS-617,12,13,24,28
TS-618,12,13,24,28
TS-619,12,13,24,28
TS-62,12,23,24,28
TS-620,12,13,24,28
TS-621,12,13,24,28
TS-622,12,13,24,28
TS-623,12,13,24,28
TS-624,12,13,24,28
TS-625,12,13,24,25
TS-626,12,13,24,25
TS-627,12,13,24,25
TS-628,12,13,24,25
TS-629,12,13,24,25
TS-63,12,23,24,28
TS-630,12,13,24,25
TS-631,12,13,24,25
TS-632,12,13,24,25
TS-633,12,13,24,25
TS-634,12,13,24,25
TS-635,12,13,24,25
TS-636,12,13,24,25
TS-637,12,13,24,25
TS-638,12,13,24,25
TS-639,12,13,24,25
TS-64,12,23,24,28
TS-640,12,13,24,25
TS-641,12,13,14,25
TS-642,12,13,14,25
TS-643,12,13,14,25
TS-644,12,13,14,25
TS-645,12,13,14,25
TS-646,12,13,14,25
TS-647,12,13,14,25
TS-648,12,13,14,25
TS-649,12,13,14,15
TS-65,12,23,24,25
TS-650,12,13,14,15
TS-651,12,13,14,15
TS-652,12,13,14,15
TS-653,12,13,14,15
TS-654,12,13,14,15
TS-655,12,13,14,15
TS-656,12,13,14,15
TS-657,12,13,14,18
TS-658,12,13,14,18
TS-659,12,13,14,18
TS-66,12,23,24,25
TS-660,12,13,14,18
TS-661,12,13,14,18
TS-662,12,13,14,18
TS-663,12,13,14,18
TS-664,12,13,14,18
TS-665,12,13,14,15
TS-666,12,13,14,15
TS-667,12,13,14,15
TS-668,12,13,14,15
TS-669,12,13,14,15
TS-67,12,23,24,25
TS-670,12,13,14,15
TS-671,12,13,14,15
TS-672,12,13,14,15
TS-673,12,13,14,15
TS-674,12,13,14,15
TS-675,12,13,14,15
TS-676,12,13,14,15
TS-677,12,13,14,15
TS-678,12,13,14,15
TS-679,12,13,14,15
TS-68,12,23,24,25
TS-680,12,13,14,15
TS-681,12,13,17,28
TS-682,12,13,17,28
TS-683,12,13,17,28
TS-684,12,13,17,28
TS-685,12,13,17,28
TS-686,12,13,17,28
TS-687,12,13,17,28
TS-688,12,13,17,28
TS-689,12,13,17,18
TS-69,12,23,24,25
TS-690,12,13,17,18
TS-691,12,13,17,18
TS-692,12,13,17,18
TS-693,12,13,17,18
TS-694,12,13,17,18
TS-695,12,13,17,18
TS-696,12,13,17,18
TS-697,12,13,17,21
TS-698,12,13,17,21
TS-699,12,13,17,21
TS-7,12,23,34,45
TS-70,12,23,24,25
TS-700,12,13,17,21
TS-701,12,13,17,21
TS-702,12,13,17,21
TS-703,12,13,17,21
TS-704,12,13,17,21
TS-705,12,13,17,18
TS-706,12,13,17,18
TS-707,12,13,17,18
TS-708,12,13,17,18
TS-709,12,13,17,18
TS-71,12,23,24,25
TS-710,12,13,17,18
TS-711,12,13,17,18
TS-712,12,13,17,18
TS-713,12,13,17,18
TS-714,12,13,17,18
TS-715,12,13,17,18
TS-716,12,13,17,18
TS-717,12,13,17,18
TS-718,12,13,17,18
TS-719,12,13,17,18
TS-72,12,23,24,25
TS-720,12,13,17,18
TS-721,12,13,14,25
TS-722,12,13,14,25
TS-723,12,13,14,25
TS-724,12,13,14,25
TS-725,12,13,14,25
TS-726,12,13,14,25
TS-727,12,13,14,25
TS-728,12,13,14,25
TS-729,12,13,14,15
TS-73,12,23,24,25
TS-730,12,13,14,15
TS-731,12,13,14,15
TS-732,12,13,14,15
TS-733,12,13,14,15
TS-734,12,13,14,15
TS-735,12,13,14,15
TS-736,12,13,14,15
TS-737,12,13,14,18
TS-738,12,13,14,18
TS-739,12,13,14,18
TS-74,12,23,24,25
TS-740,12,13,14,18
TS-741,12,13,14,18
TS-742,12,13,14,18
TS-743,12,13,14,18
TS-744,12,13,14,18
TS-745,12,13,14,15
TS-746,12,13,14,15
TS-747,12,13,14,15
TS-748,12,13,14,15
TS-749,12,13,14,15
TS-75,12,23,24,25
TS-750,12,13,14,15
TS-751,12,13,14,15
TS-752,12,13,14,15
TS-753,12,13,14,15
TS-754,12,13,14,15
TS-755,12,13,14,15
TS-756,12,13,14,15
TS-757,12,13,14,15
TS-758,12,13,14,15
TS-759,12,13,14,15
TS-76,12,23,24,25
TS-760,12,13,14,15
TS-761,12,13,14,25
TS-762,12,13,14,25
TS-763,12,13,14,25
TS-764,12,13,14,25
TS-765,12,13,14,25
TS-766,12,13,14,25
TS-767,12,13,14,25
TS-768,12,13,14,25
TS-769,12,13,14,15
TS-77,12,23,24,25
TS-770,12,13,14,15
TS-771,12,13,14,15
TS-772,12,13,14,15
TS-773,12,13,14,15
TS-774,12,13,14,15
TS-775,12,13,14,15
TS-776,12,13,14,15
TS-777,12,13,14,18
TS-778,12,13,14,18
TS-779,12,13,14,18
TS-78,12,23,24,25
TS-780,12,13,14,18
TS-781,12,13,14,18
TS-782,12,13,14,18
TS-783,12,13,14,18
TS-784,12,13,14,18
TS-785,12,13,14,15
TS-786,12,13,14,15
TS-787,12,13,14,15
TS-788,12,13,14,15
TS-789,12,13,14,15
TS-79,12,23,24,25
TS-790,12,13,14,15
TS-791,12,13,14,15
TS-792,12,13,14,15
TS-793,12,13,14,15
TS-794,12,13,14,15
TS-795,12,13,14,15
TS-796,12,13,14,15
TS-797,12,13,14,15
TS-798,12,13,14,15
TS-799,12,13,14,15
TS-8,12,23,34,45
TS-80,12,23,24,25
TS-800,12,13,14,15
TS-801,12,13,24,35
TS-802,12,13,24,35
TS-803,12,13,24,35
TS-804,12,13,24,35
TS-805,12,13,24,35
TS-806,12,13,24,35
TS-807,12,13,24,35
TS-808,12,13,24,35
TS-809,12,13,24,25
TS-81,12,23,27,38
TS-810,12,13,24,25
TS-811,12,13,24,25
TS-812,12,13,24,25
TS-813,12,13,24,25
TS-814,12,13,24,25
TS-815,12,13,24,25
TS-816,12,13,24,25
TS-817,12,13,24,28
TS-818,12,13,24,28
TS-819,12,13,24,28
TS-82,12,23,27,38
TS-820,12,13,24,28
TS-821,12,13,24,28
TS-822,12,13,24,28
TS-823,12,13,24,28
TS-824,12,13,24,28
TS-825,12,13,24,25
TS-826,12,13,24,25
TS-827,12,13,24,25
TS-828,12,13,24,25
TS-829,12,13,24,25
TS-83,12,23,27,38
TS-830,12,13,24,25
TS-831,12,13,24,25
TS-832,12,13,24,25
TS-833,12,13,24,25
TS-834,12,13,24,25
TS-835,12,13,24,25
TS-836,12,13,24,25
TS-837,12,13,24,25
TS-838,12,13,24,25
TS-839,12,13,24,25
TS-84,12,23,27,38
TS-840,12,13,24,25
TS-841,12,13,14,25
TS-842,12,13,14,25
TS-843,12,13,14,25
TS-844,12,13,14,25
TS-845,12,13,14,25
TS-846,12,13,14,25
TS-847,12,13,14,25
TS-848,12,13,14,25
TS-849,12,13,14,15
TS-85,12,23,27,38
TS-850,12,13,14,15
TS-851,12,13,14,15
TS-852,12,13,14,15
TS-853,12,13,14,15
TS-854,12,13,14,15
TS-855,12,13,14,15
TS-856,12,13,14,15
TS-857,12,13,14,18
TS-858,12,13,14,18
TS-859,12,13,14,18
TS-86,12,23,27,38
TS-860,12,13,14,18
TS-861,12,13,14,18
TS-862,12,13,14,18
TS-863,12,13,14,18
TS-864,12,13,14,18
TS-865,12,13,14,15
TS-866,12,13,14,15
TS-867,12,13,14,15
TS-868,12,13,14,15
TS-869,12,13,14,15
TS-87,12,23,27,38
TS-870,12,13,14,15
TS-871,12,13,14,15
TS-872,12,13,14,15
TS-873,12,13,14,15
TS-874,12,13,14,15
TS-875,12,13,14,15
TS-876,12,13,14,15
TS-877,12,13,14,15
TS-878,12,13,14,15
TS-879,12,13,14,15
TS-88,12,23,27,38
TS-880,12,13,14,15
TS-881,12,13,17,28
TS-882,12,13,17,28
TS-883,12,13,17,28
TS-884,12,13,17,28
TS-885,12,13,17,28
TS-886,12,13,17,28
TS-887,12,13,17,28
TS-888,12,13,17,28
TS-889,12,13,17,18
TS-89,12,23,27,28
TS-890,12,13,17,18
TS-891,12,13,17,18
TS-892,12,13,17,18
TS-893,12,13,17,18
TS-894,12,13,17,18
TS-895,12,13,17,18
TS-896,12,13,17,18
TS-897,12,13,17,21
TS-898,12,13,17,21
TS-899,12,13,17,21
TS-9,12,23,34,35
TS-90,12,23,27,28
TS-900,12,13,17,21
TS-901,12,13,17,21
TS-902,12,13,17,21
TS-903,12,13,17,21
TS-904,12,13,17,21
TS-905,12,13,17,18
TS-906,12,13,17,18
TS-907,12,13,17,18
TS-908,12,13,17,18
TS-909,12,13,17,18
TS-91,12,23,27,28
TS-910,12,13,17,18
TS-911,12,13,17,18
TS-912,12,13,17,18
TS-913,12,13,17,18
TS-914,12,13,17,18
TS-915,12,13,17,18
TS-916,12,13,17,18
TS-917,12,13,17,18
TS-918,12,13,17,18
TS-919,12,13,17,18
TS-92,12,23,27,28
TS-920,12,13,17,18
TS-921,12,13,14,25
TS-922,12,13,14,25
TS-923,12,13,14,25
TS-924,12,13,14,25
TS-925,12,13,14,25
TS-926,12,13,14,25
TS-927,12,13,14,25
TS-928,12,13,14,25
TS-929,12,13,14,15
TS-93,12,23,27,28
TS-930,12,13,14,15
TS-931,12,13,14,15
TS-932,12,13,14,15
TS-933,12,13,14,15
TS-934,12,13,14,15
TS-935,12,13,14,15
TS-936,12,13,14,15
TS-937,12,13,14,18
TS-938,12,13,14,18
TS-939,12,13,14,18
TS-94,12,23,27,28
TS-940,12,13,14,18
TS-941,12,13,14,18
TS-942,12,13,14,18
TS-943,12,13,14,18
TS-944,12,13,14,18
TS-945,12,13,14,15
TS-946,12,13,14,15
TS-947,12,13,14,15
TS-948,12,13,14,15
TS-949,12,13,14,15
TS-95,12,23,27,28
TS-950,12,13,14,15
TS-951,12,13,14,15
TS-952,12,13,14,15
TS-953,12,13,14,15
TS-954,12,13,14,15
TS-955,12,13,14,15
TS-956,12,13,14,15
TS-957,12,13,14,15
TS-958,12,13,14,15
TS-959,12,13,14,15
TS-96,12,23,27,28
TS-960,12,13,14,15
TS-961,12,13,14,25
TS-962,12,13,14,25
TS-963,12,13,14,25
TS-964,12,13,14,25
TS-965,12,13,14,25
TS-966,12,13,14,25
TS-967,12,13,14,25
TS-968,12,13,14,25
TS-969,12,13,14,15
TS-97,12,23,27,31
TS-970,12,13,14,15
TS-971,12,13,14,15
TS-972,12,13,14,15
TS-973,12,13,14,15
TS-974,12,13,14,15
TS-975,12,13,14,15
TS-976,12,13,14,15
TS-977,12,13,14,18
TS-978,12,13,14,18
TS-979,12,13,14,18
TS-98,12,23,27,31
TS-980,12,13,14,18
TS-981,12,13,14,18
TS-982,12,13,14,18
TS-983,12,13,14,18
TS-984,12,13,14,18
TS-985,12,13,14,15
TS-986,12,13,14,15
TS-987,12,13,14,15
TS-988,12,13,14,15
TS-989,12,13,14,15
TS-99,12,23,27,31
TS-990,12,13,14,15
TS-991,12,13,14,15
TS-992,12,13,14,15
TS-993,12,13,14,15
TS-994,12,13,14,15
TS-995,12,13,14,15
TS-996,12,13,14,15
TS-997,12,13,14,15
TS-998,12,13,14,15
TS-999,12,13,14,15
